"","last_scraped","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood","neighbourhood_cleansed","property_type","room_type","accommodates","bathrooms_text","bedrooms","beds","price","minimum_nights","maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","Air_conditioning","Backyard","Barbecue_utensils","Bathtub","BBQ_grill","Beach_essentials","Beachfront","Bed_linens","Board_games","Breakfast","Ceiling_fan","Central_heating","Children\u2019s_books_and_toys","Cleaning_before_checkout","Coffee_maker","Cooking_basics","Dedicated_workspace","Dining_table","Dishwasher","Elevator","Ethernet_connection","Extra_pillows_and_blankets","Fire_extinguisher","First_aid_kit","Free_parking_on_premises","Free_street_parking","Freezer","Gym","Heating","Host_greets_you","Hot_tub","Hot_water","Indoor_fireplace","Iron","Laundromat_nearby","Luggage_dropoff_allowed","Microwave","Mini_fridge","Oven]","Pool","Private_fenced_garden_or_backyard","Refrigerator","Room-darkening_shades","Security_cameras_on_property","Shampoo","Smart_lock","Stove","TV","Washer","Waterfront","carbon_monoxide_alarm","cable_tv","hair_dryer","long_term_stays_allowed","dryer","patio_or_balcony"
"1",2021-12-20,"100","100",0,3,3,1,1,"San Diego, California, United States","Mission Bay","Entire condominium (condo)","Entire home/apt",6,"1 bath",2,4,2050,3,365,3,365,TRUE,1,1,2,156,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1
"2",2021-12-21,"100","65",0,5,5,1,1,NA,"Pacific Beach","Entire bungalow","Entire home/apt",8,"2 baths",2,3,234,4,365,4,365,TRUE,10,10,10,246,72,10,1,2010-07-09,2021-12-16,4.85,4.85,4.7,4.95,4.93,4.83,4.83,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1
"3",2021-12-21,"100","50",0,3,3,1,1,"San Diego, California, United States","Roseville","Private room in residential home","Private room",1,"1 shared bath",1,1,74,1,21,1,21,TRUE,12,42,72,347,146,3,0,2010-09-09,2021-08-15,4.32,4.35,4.21,4.71,4.79,4.61,4.4,0,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0
"4",2021-12-21,"100","86",1,5,5,1,1,"La Jolla, California, United States","La Jolla","Entire guesthouse","Entire home/apt",3,"1 bath",2,3,258,5,180,5,180,TRUE,1,2,23,34,280,37,1,2011-01-04,2021-11-26,4.94,4.92,4.95,4.96,4.97,4.97,4.88,0,2,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1
"5",2021-12-21,"100","95",1,2,2,1,1,"San Diego, California, United States","Pacific Beach","Entire guesthouse","Entire home/apt",2,"1 bath",1,1,80,1,30,1.6,1125,TRUE,9,29,48,322,689,68,5,2010-12-05,2021-12-05,4.77,4.87,4.86,4.93,4.85,4.86,4.79,0,2,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1
"6",2021-12-21,"100","94",1,2,2,1,1,"San Diego, California, United States","Pacific Beach","Entire guest suite","Entire home/apt",2,"1 bath",NA,NA,91,1,7,1,1104.7,TRUE,13,41,68,68,821,107,4,2012-08-23,2021-12-13,4.86,4.9,4.85,4.96,4.95,4.82,4.81,0,2,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0
"7",2021-12-21,"100","43",1,5,5,1,1,"San Diego, California, United States","College Area","Entire rental unit","Entire home/apt",2,"1 bath",1,1,70,30,730,30.1,666.5,TRUE,0,0,12,287,6,3,0,2015-05-29,2021-11-04,5,5,5,5,5,5,5,0,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0
"8",2021-12-21,"0","19",0,2,2,1,1,NA,"North Hills","Private room in condominium (condo)","Private room",2,"1 private bath",1,1,45,2,1825,2,1825,TRUE,0,0,0,200,195,0,0,2011-07-25,2020-09-30,4.83,4.86,4.71,4.87,4.89,4.8,4.87,0,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1
"9",2021-12-21,"50","100",0,1,1,1,1,"San Diego, California, United States","Old Town","Private room in condominium (condo)","Private room",1,"1 private bath",1,1,75,32,180,32,1125,TRUE,0,0,23,81,17,0,0,2018-02-21,2020-10-16,4.82,4.94,4.88,4.88,4.94,5,4.76,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0
"10",2021-12-21,"0","19",0,2,2,1,1,NA,"North Hills","Private room in condominium (condo)","Private room",2,"1 private bath",1,1,50,2,1825,2,1825,TRUE,0,0,1,154,159,4,0,2011-03-22,2021-09-27,4.81,4.87,4.61,4.92,4.9,4.77,4.86,0,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1
